c1_2_1

VEHICLE
NUMBER     CAPACITY
  50          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME
 
    0      70         70          0          0       1351          0
    1      33         78         20        750        809         90
    2      59         52         20        553        602         90
    3      10        137         30        147        219         90
    4       4         28         10        616        661         90
    5      25         26         20        128        179         90
    6      86         37         10        478        531         90
    7       1        109         10        616        680         90
    8       6        135         40        351        386         90
    9      32         79         20        655        721         90
   10      24         26         20        219        271         90
   11      86         36         20        384        443         90
   12      95         35         10        196        252         90
   13      63         50         10        364        416         90
   14     100        106         10        567        626         90
   15      99        112         20        846        911         90
   16      36        135         10        598        669         90
   17      57         59         10        824        890         90
   18       8        124         10        231        298         90
   19      85        106         20        186        253         90
   20     103         69         30         33         93         90
  
