c1_2_1

VEHICLE
NUMBER     CAPACITY
  50          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME
 
    0      70         70          0          0       1351          0
    1      33         78         20        750        809         90
    2      59         52         20        553        602         90
    3      10        137         30        147        219         90
    4       4         28         10        616        661         90
    5      25         26         20        128        179         90
    6      86         37         10        478        531         90
    7       1        109         10        616        680         90
    8       6        135         40        351        386         90
    9      32         79         20        655        721         90
   10      24         26         20        219        271         90
