c1_2_1

VEHICLE
NUMBER     CAPACITY
  50          200

CUSTOMER
CUST NO.	XCOORD.	YCOORD.	PICKUP	DEMAND	READY TIME	DUE DATE	EARLY_PENALTY	LATE_PENALTY	SERVICE TIME
0	70	70	0	0	0	1351	0	0	0
1	33	78	10	20	750	809	9	3	90
2	59	52	5	20	553	602	4	1	90
3	10	137	5	30	147	219	9	6	90
4	4	28	10	10	616	661	3	4	90
5	25	26	5	20	128	179	9	7	90
6	86	37	5	10	478	531	2	8	90
7	1	109	5	10	616	680	5	8	90
8	6	135	15	40	351	386	5	5	90
9	32	79	15	20	655	721	5	9	90
10	24	26	15	20	219	271	1	3	90
11	86	36	10	20	384	443	1	3	90
12	95	35	5	10	196	252	9	3	90
13	63	50	15	10	364	416	8	1	90
14	100	106	15	10	567	626	3	2	90
15	99	112	15	20	846	911	9	1	90
16	36	135	5	10	598	669	7	3	90
17	57	59	5	10	824	890	7	9	90
18	8	124	5	10	231	298	2	2	90
19	85	106	10	20	186	253	8	5	90
20	103	69	15	30	33	93	1	3	90
21	109	131	5	20	72	141	7	4	90
22	43	140	15	10	410	470	4	3	90
23	115	134	5	30	140	199	1	3	90
24	98	70	15	10	467	511	3	1	90
25	112	67	10	10	462	534	6	3	90
26	102	104	15	20	201	258	7	9	90
27	93	75	5	30	178	238	4	7	90
28	90	104	15	20	845	910	5	2	90
29	127	108	15	10	677	743	1	8	90
30	84	99	5	20	32	102	4	8	90
31	113	69	5	20	370	440	2	6	90
32	129	9	5	10	84	147	1	7	90
33	18	38	10	30	582	638	9	4	90
34	30	27	5	10	772	835	8	9	90
35	25	80	5	20	380	440	7	2	90
36	17	37	10	30	493	544	2	4	90
37	32	106	5	10	602	657	9	6	90
38	43	135	10	10	215	293	8	2	90
39	61	59	15	20	448	517	2	1	90
40	104	106	10	20	390	434	9	2	90
41	109	71	10	20	95	163	9	7	90
42	121	110	5	30	870	923	1	7	90
43	61	48	10	20	448	517	8	4	90
44	74	99	10	20	176	243	5	9	90
45	89	73	10	10	19	94	2	5	90
46	21	25	15	20	405	453	9	1	90
47	99	28	10	30	392	442	3	8	90
48	101	96	5	10	101	160	5	4	90
49	9	114	15	20	904	954	8	5	90
50	121	112	15	20	221	277	3	2	90
